,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',0
3,'2000-04-01',0
4,'2000-05-01',0
5,'2000-06-01',1
6,'2000-07-01',1
7,'2000-08-01',1
8,'2000-09-01',2
9,'2000-10-01',2
10,'2000-11-01',2
11,'2000-12-01',2
12,'2001-01-01',2
13,'2001-02-01',3
14,'2001-03-01',3
15,'2001-04-01',4
16,'2001-05-01',4
17,'2001-06-01',4
18,'2001-07-01',4
19,'2001-08-01',4
20,'2001-09-01',4
21,'2001-10-01',4
22,'2001-11-01',4
23,'2001-12-01',4
24,'2002-01-01',4
25,'2002-02-01',4
26,'2002-03-01',4
27,'2002-04-01',4
28,'2002-05-01',4
29,'2002-06-01',5
30,'2002-07-01',5
31,'2002-08-01',5
32,'2002-09-01',5
33,'2002-10-01',5
34,'2002-11-01',5
35,'2002-12-01',5
36,'2003-01-01',6
37,'2003-02-01',6
38,'2003-03-01',7
39,'2003-04-01',8
40,'2003-05-01',10
41,'2003-06-01',11
42,'2003-07-01',11
43,'2003-08-01',11
44,'2003-09-01',12
45,'2003-10-01',12
46,'2003-11-01',12
47,'2003-12-01',12
48,'2004-01-01',12
49,'2004-02-01',12
50,'2004-03-01',14
51,'2004-04-01',15
52,'2004-05-01',16
53,'2004-06-01',16
54,'2004-07-01',16
55,'2004-08-01',17
56,'2004-09-01',21
57,'2004-10-01',23
58,'2004-11-01',24
59,'2004-12-01',24
60,'2005-01-01',25
61,'2005-02-01',27
62,'2005-03-01',29
63,'2005-04-01',33
64,'2005-05-01',34
65,'2005-06-01',36
66,'2005-07-01',37
67,'2005-08-01',37
68,'2005-09-01',40
69,'2005-10-01',45
70,'2005-11-01',50
71,'2005-12-01',55
72,'2006-01-01',60
73,'2006-02-01',64
74,'2006-03-01',67
75,'2006-04-01',72
76,'2006-05-01',76
77,'2006-06-01',81
78,'2006-07-01',84
79,'2006-08-01',86
80,'2006-09-01',101
81,'2006-10-01',111
82,'2006-11-01',122
83,'2006-12-01',128
84,'2007-01-01',134
85,'2007-02-01',149
86,'2007-03-01',157
87,'2007-04-01',170
88,'2007-05-01',177
89,'2007-06-01',185
90,'2007-07-01',192
91,'2007-08-01',198
92,'2007-09-01',208
93,'2007-10-01',213
94,'2007-11-01',229
95,'2007-12-01',251
96,'2008-01-01',263
97,'2008-02-01',311
98,'2008-03-01',432
99,'2008-04-01',476
100,'2008-05-01',543
101,'2008-06-01',570
102,'2008-07-01',584
103,'2008-08-01',596
104,'2008-09-01',620
105,'2008-10-01',662
106,'2008-11-01',697
107,'2008-12-01',721
108,'2009-01-01',733
109,'2009-02-01',782
110,'2009-03-01',859
111,'2009-04-01',949
112,'2009-05-01',984
113,'2009-06-01',999
114,'2009-07-01',1014
115,'2009-08-01',1034
116,'2009-09-01',1091
117,'2009-10-01',1237
118,'2009-11-01',1298
119,'2009-12-01',1337
120,'2010-01-01',1352
121,'2010-02-01',1415
122,'2010-03-01',1500
123,'2010-04-01',1576
124,'2010-05-01',1597
125,'2010-06-01',1643
126,'2010-07-01',1658
127,'2010-08-01',1670
128,'2010-09-01',1688
129,'2010-10-01',1798
130,'2010-11-01',1865
131,'2010-12-01',1907
132,'2011-01-01',1920
133,'2011-02-01',2003
134,'2011-03-01',2184
135,'2011-04-01',2270
136,'2011-05-01',2367
137,'2011-06-01',2418
138,'2011-07-01',2426
139,'2011-08-01',2466
140,'2011-09-01',2531
141,'2011-10-01',2630
142,'2011-11-01',2694
143,'2011-12-01',2742
144,'2012-01-01',2751
145,'2012-02-01',2926
146,'2012-03-01',3094
147,'2012-04-01',3179
148,'2012-05-01',3200
149,'2012-06-01',3238
150,'2012-07-01',3250
151,'2012-08-01',3279
152,'2012-09-01',3316
153,'2012-10-01',3436
154,'2012-11-01',3486
155,'2012-12-01',3513
156,'2013-01-01',3527
157,'2013-02-01',3677
158,'2013-03-01',3871
159,'2013-04-01',3954
160,'2013-05-01',3992
161,'2013-06-01',4031
162,'2013-07-01',4046
163,'2013-08-01',4074
164,'2013-09-01',4116
165,'2013-10-01',4268
166,'2013-11-01',4339
167,'2013-12-01',4393
168,'2014-01-01',4406
169,'2014-02-01',4593
170,'2014-03-01',4727
171,'2014-04-01',4807
172,'2014-05-01',4854
173,'2014-06-01',4876
174,'2014-07-01',4882
175,'2014-08-01',4913
176,'2014-09-01',4965
177,'2014-10-01',5086
178,'2014-11-01',5147
179,'2014-12-01',5203
180,'2015-01-01',5262
181,'2015-02-01',5378
182,'2015-03-01',5472
183,'2015-04-01',5595
184,'2015-05-01',5653
185,'2015-06-01',5680
186,'2015-07-01',5704
187,'2015-08-01',5744
188,'2015-09-01',5805
189,'2015-10-01',6078
190,'2015-11-01',6191
191,'2015-12-01',6248
192,'2016-01-01',6273
193,'2016-02-01',6392
194,'2016-03-01',6569
195,'2016-04-01',6676
196,'2016-05-01',6724
197,'2016-06-01',6755
198,'2016-07-01',6768
199,'2016-08-01',6833
200,'2016-09-01',6956
201,'2016-10-01',7239
202,'2016-11-01',7347
203,'2016-12-01',7436
204,'2017-01-01',7462
205,'2017-02-01',7612
206,'2017-03-01',7819
207,'2017-04-01',7990
208,'2017-05-01',8068
209,'2017-06-01',8136
210,'2017-07-01',8161
211,'2017-08-01',8216
212,'2017-09-01',8372
213,'2017-10-01',8626
214,'2017-11-01',8748
215,'2017-12-01',8835
