,track
0,0
1,0
2,3
3,3
4,4
5,4
6,4
7,5
8,6
9,8
10,8
11,8
12,8
13,12
14,14
15,14
16,13
17,13
18,14
19,14
20,15
21,18
22,22
23,22
24,21
25,26
26,37
27,39
28,43
29,49
30,62
31,70
32,77
33,86
34,100
35,108
36,121
37,124
38,143
39,149
40,155
41,161
42,158
43,157
44,165
45,163
46,153
47,152
48,144
49,144
50,140
51,186
52,216
53,213
54,226
55,230
56,242
57,251
58,266
59,273
60,293
61,298
62,306
63,279
64,255
65,258
66,272
67,311
68,336
69,370
70,424
71,485
72,521
73,651
74,724
75,802
76,883
77,945
78,1061
79,1123
80,1230
81,1292
82,1397
83,1521
