,track
0,0
1,0
2,3
3,3
4,4
5,4
6,4
7,5
8,6
9,8
10,8
11,8
12,8
13,12
14,14
15,14
16,13
17,13
18,14
19,14
20,15
21,18
22,22
23,22
24,21
25,26
26,37
27,39
28,43
29,49
30,62
31,70
32,77
33,86
34,100
35,108
36,121
37,124
38,143
39,149
40,155
41,161
42,158
43,157
44,165
45,163
46,153
47,152
48,144
49,144
50,140
51,186
52,216
53,213
54,226
55,230
56,242
57,251
58,266
59,273
60,293
61,298
62,306
63,279
64,255
65,258
66,272
67,311
68,336
69,370
70,424
71,485
72,521
73,651
74,724
75,802
76,883
77,945
78,1061
79,1123
80,1230
81,1292
82,1397
83,1521
84,1537
85,1603
86,1681
87,1773
88,1818
89,1884
90,1844
91,1863
92,1850
93,1887
94,1849
95,1803
96,1828
97,1720
98,1665
99,1597
100,1567
101,1540
102,1568
103,1557
104,1534
105,1522
106,1565
107,1561
108,1584
109,1596
110,1621
111,1664
112,1682
113,1685
114,1639
115,1604
116,1554
117,1520
118,1448
119,1426
120,1401
121,1394
122,1370
123,1358
124,1402
125,1459
126,1547
127,1606
128,1684
129,1757
130,1845
131,1920
132,1972
133,2041
134,2109
135,2152
136,2152
137,2162
138,2145
139,2159
140,2159
141,2170
142,2169
143,2151
144,2181
145,2177
146,2183
147,2195
148,2233
149,2270
150,2332
151,2362
152,2332
153,2328
154,2379
155,2434
156,2438
157,2481
158,2589
159,2562
160,2623
161,2671
162,2665
163,2711
164,2784
165,2802
166,2822
167,2838
168,2811
169,2833
170,2771
171,2852
172,2866
173,2776
174,2724
175,2623
176,2559
177,2496
178,2461
179,2472
180,2510
181,2499
182,2482
183,2448
184,2403
185,2386
186,2303
187,2345
188,2381
189,2466
190,2459
191,2344
192,2346
193,2300
194,2285
195,2315
196,2365
197,2472
198,2666
199,2677
200,2741
201,2797
202,2871
203,3043
204,3086
205,3207
206,3322
207,3365
208,3358
209,3390
210,3362
211,3436
212,3503
213,3501
214,3496
215,3477
