,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',58
3,'2000-04-01',72
4,'2000-05-01',88
5,'2000-06-01',96
6,'2000-07-01',101
7,'2000-08-01',119
8,'2000-09-01',215
9,'2000-10-01',269
10,'2000-11-01',327
11,'2000-12-01',378
12,'2001-01-01',409
13,'2001-02-01',616
14,'2001-03-01',753
15,'2001-04-01',779
16,'2001-05-01',804
17,'2001-06-01',811
18,'2001-07-01',817
19,'2001-08-01',806
20,'2001-09-01',807
21,'2001-10-01',814
22,'2001-11-01',775
23,'2001-12-01',742
24,'2002-01-01',684
25,'2002-02-01',665
26,'2002-03-01',662
27,'2002-04-01',647
28,'2002-05-01',394
29,'2002-06-01',388
30,'2002-07-01',394
31,'2002-08-01',404
32,'2002-09-01',445
33,'2002-10-01',485
34,'2002-11-01',503
35,'2002-12-01',480
36,'2003-01-01',457
37,'2003-02-01',478
38,'2003-03-01',834
39,'2003-04-01',853
40,'2003-05-01',825
41,'2003-06-01',847
42,'2003-07-01',856
43,'2003-08-01',860
44,'2003-09-01',973
45,'2003-10-01',1012
46,'2003-11-01',1020
47,'2003-12-01',1032
48,'2004-01-01',982
49,'2004-02-01',987
50,'2004-03-01',1009
51,'2004-04-01',1071
52,'2004-05-01',1054
53,'2004-06-01',818
54,'2004-07-01',857
55,'2004-08-01',857
56,'2004-09-01',997
57,'2004-10-01',1038
58,'2004-11-01',1086
59,'2004-12-01',1083
60,'2005-01-01',1007
61,'2005-02-01',1090
62,'2005-03-01',1154
63,'2005-04-01',1103
64,'2005-05-01',1068
65,'2005-06-01',1080
66,'2005-07-01',1104
67,'2005-08-01',1191
68,'2005-09-01',1300
69,'2005-10-01',1386
70,'2005-11-01',1551
71,'2005-12-01',1674
72,'2006-01-01',1670
73,'2006-02-01',1898
74,'2006-03-01',2153
75,'2006-04-01',2393
76,'2006-05-01',2534
77,'2006-06-01',2698
78,'2006-07-01',2959
79,'2006-08-01',3062
80,'2006-09-01',3397
81,'2006-10-01',3573
82,'2006-11-01',4073
83,'2006-12-01',4293
84,'2007-01-01',4357
85,'2007-02-01',4907
86,'2007-03-01',5263
87,'2007-04-01',5484
88,'2007-05-01',5568
89,'2007-06-01',5707
90,'2007-07-01',5693
91,'2007-08-01',5791
92,'2007-09-01',5848
93,'2007-10-01',6027
94,'2007-11-01',6030
95,'2007-12-01',5956
96,'2008-01-01',5953
97,'2008-02-01',6317
98,'2008-03-01',6378
99,'2008-04-01',6339
100,'2008-05-01',6328
101,'2008-06-01',6301
102,'2008-07-01',6336
103,'2008-08-01',6395
104,'2008-09-01',6410
105,'2008-10-01',6542
106,'2008-11-01',6897
107,'2008-12-01',6808
108,'2009-01-01',6872
109,'2009-02-01',7289
110,'2009-03-01',7065
111,'2009-04-01',7207
112,'2009-05-01',7055
113,'2009-06-01',6947
114,'2009-07-01',6912
115,'2009-08-01',6828
116,'2009-09-01',6950
117,'2009-10-01',7342
118,'2009-11-01',7528
119,'2009-12-01',7406
120,'2010-01-01',7414
121,'2010-02-01',7991
122,'2010-03-01',8346
123,'2010-04-01',8226
124,'2010-05-01',8151
125,'2010-06-01',8376
126,'2010-07-01',8516
127,'2010-08-01',8657
128,'2010-09-01',8879
129,'2010-10-01',9388
130,'2010-11-01',9890
131,'2010-12-01',9913
132,'2011-01-01',9802
133,'2011-02-01',10017
134,'2011-03-01',10704
135,'2011-04-01',10531
136,'2011-05-01',10522
137,'2011-06-01',10464
138,'2011-07-01',10502
139,'2011-08-01',10494
140,'2011-09-01',10684
141,'2011-10-01',10965
142,'2011-11-01',11330
143,'2011-12-01',11137
144,'2012-01-01',10877
145,'2012-02-01',11634
146,'2012-03-01',11986
147,'2012-04-01',11959
148,'2012-05-01',11785
149,'2012-06-01',11760
150,'2012-07-01',11793
151,'2012-08-01',11955
152,'2012-09-01',12077
153,'2012-10-01',12529
154,'2012-11-01',12499
155,'2012-12-01',12390
156,'2013-01-01',12111
157,'2013-02-01',12355
158,'2013-03-01',12775
159,'2013-04-01',12752
160,'2013-05-01',12522
161,'2013-06-01',12424
162,'2013-07-01',12420
163,'2013-08-01',12389
164,'2013-09-01',12687
165,'2013-10-01',13380
166,'2013-11-01',13483
167,'2013-12-01',13511
168,'2014-01-01',13080
169,'2014-02-01',13367
170,'2014-03-01',13470
171,'2014-04-01',13447
172,'2014-05-01',13091
173,'2014-06-01',12802
174,'2014-07-01',12636
175,'2014-08-01',12352
176,'2014-09-01',12269
177,'2014-10-01',12521
178,'2014-11-01',12578
179,'2014-12-01',12241
180,'2015-01-01',12049
181,'2015-02-01',12422
182,'2015-03-01',12308
183,'2015-04-01',12565
184,'2015-05-01',12180
185,'2015-06-01',11969
186,'2015-07-01',11914
187,'2015-08-01',12089
188,'2015-09-01',12406
189,'2015-10-01',13165
190,'2015-11-01',13445
191,'2015-12-01',13264
