,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',2
3,'2000-04-01',2
4,'2000-05-01',2
5,'2000-06-01',2
6,'2000-07-01',2
7,'2000-08-01',2
8,'2000-09-01',2
9,'2000-10-01',2
10,'2000-11-01',2
11,'2000-12-01',2
12,'2001-01-01',2
13,'2001-02-01',2
14,'2001-03-01',2
15,'2001-04-01',2
16,'2001-05-01',0
17,'2001-06-01',0
18,'2001-07-01',0
19,'2001-08-01',0
20,'2001-09-01',0
21,'2001-10-01',0
22,'2001-11-01',0
23,'2001-12-01',0
24,'2002-01-01',0
25,'2002-02-01',0
26,'2002-03-01',0
27,'2002-04-01',0
28,'2002-05-01',0
29,'2002-06-01',0
30,'2002-07-01',0
31,'2002-08-01',0
32,'2002-09-01',0
33,'2002-10-01',0
34,'2002-11-01',0
35,'2002-12-01',0
