,date,track
0,'2000-01-01',0
1,'2000-02-01',0
2,'2000-03-01',3
3,'2000-04-01',3
4,'2000-05-01',3
5,'2000-06-01',3
6,'2000-07-01',5
7,'2000-08-01',5
8,'2000-09-01',5
9,'2000-10-01',5
10,'2000-11-01',5
11,'2000-12-01',5
12,'2001-01-01',6
13,'2001-02-01',8
14,'2001-03-01',9
15,'2001-04-01',9
16,'2001-05-01',10
17,'2001-06-01',10
18,'2001-07-01',10
19,'2001-08-01',10
20,'2001-09-01',10
21,'2001-10-01',10
22,'2001-11-01',10
23,'2001-12-01',10
24,'2002-01-01',11
25,'2002-02-01',12
26,'2002-03-01',12
27,'2002-04-01',12
28,'2002-05-01',12
29,'2002-06-01',15
30,'2002-07-01',15
31,'2002-08-01',16
32,'2002-09-01',16
33,'2002-10-01',17
34,'2002-11-01',19
35,'2002-12-01',19
36,'2003-01-01',19
37,'2003-02-01',19
38,'2003-03-01',19
39,'2003-04-01',19
40,'2003-05-01',20
41,'2003-06-01',20
42,'2003-07-01',20
43,'2003-08-01',20
44,'2003-09-01',20
45,'2003-10-01',20
46,'2003-11-01',20
47,'2003-12-01',21
48,'2004-01-01',21
49,'2004-02-01',21
50,'2004-03-01',21
51,'2004-04-01',21
52,'2004-05-01',21
53,'2004-06-01',21
54,'2004-07-01',21
55,'2004-08-01',21
56,'2004-09-01',22
57,'2004-10-01',24
58,'2004-11-01',25
59,'2004-12-01',26
60,'2005-01-01',27
61,'2005-02-01',32
62,'2005-03-01',34
63,'2005-04-01',34
64,'2005-05-01',35
65,'2005-06-01',35
66,'2005-07-01',37
67,'2005-08-01',38
68,'2005-09-01',44
69,'2005-10-01',48
70,'2005-11-01',50
71,'2005-12-01',55
72,'2006-01-01',59
73,'2006-02-01',62
74,'2006-03-01',69
75,'2006-04-01',73
76,'2006-05-01',81
77,'2006-06-01',87
78,'2006-07-01',90
79,'2006-08-01',94
80,'2006-09-01',101
81,'2006-10-01',108
82,'2006-11-01',117
83,'2006-12-01',125
84,'2007-01-01',136
85,'2007-02-01',145
86,'2007-03-01',160
87,'2007-04-01',174
88,'2007-05-01',183
89,'2007-06-01',191
90,'2007-07-01',202
91,'2007-08-01',210
92,'2007-09-01',214
93,'2007-10-01',220
94,'2007-11-01',238
95,'2007-12-01',257
96,'2008-01-01',271
97,'2008-02-01',316
98,'2008-03-01',369
99,'2008-04-01',400
100,'2008-05-01',443
101,'2008-06-01',468
102,'2008-07-01',493
103,'2008-08-01',534
104,'2008-09-01',544
105,'2008-10-01',571
106,'2008-11-01',610
107,'2008-12-01',656
108,'2009-01-01',698
109,'2009-02-01',728
110,'2009-03-01',765
111,'2009-04-01',796
112,'2009-05-01',844
113,'2009-06-01',873
114,'2009-07-01',888
115,'2009-08-01',904
116,'2009-09-01',919
117,'2009-10-01',952
118,'2009-11-01',995
119,'2009-12-01',1038
120,'2010-01-01',1087
121,'2010-02-01',1125
122,'2010-03-01',1206
123,'2010-04-01',1268
124,'2010-05-01',1335
125,'2010-06-01',1393
126,'2010-07-01',1435
127,'2010-08-01',1479
128,'2010-09-01',1512
129,'2010-10-01',1585
130,'2010-11-01',1660
131,'2010-12-01',1790
132,'2011-01-01',1845
133,'2011-02-01',1921
134,'2011-03-01',1991
135,'2011-04-01',2067
136,'2011-05-01',2150
137,'2011-06-01',2201
138,'2011-07-01',2273
139,'2011-08-01',2301
140,'2011-09-01',2324
141,'2011-10-01',2390
142,'2011-11-01',2488
143,'2011-12-01',2600
144,'2012-01-01',2669
145,'2012-02-01',2733
146,'2012-03-01',2826
147,'2012-04-01',2912
148,'2012-05-01',3062
149,'2012-06-01',3129
150,'2012-07-01',3177
151,'2012-08-01',3222
152,'2012-09-01',3249
153,'2012-10-01',3335
154,'2012-11-01',3404
155,'2012-12-01',3524
156,'2013-01-01',3567
157,'2013-02-01',3647
158,'2013-03-01',3746
159,'2013-04-01',3813
160,'2013-05-01',3936
161,'2013-06-01',4010
162,'2013-07-01',4071
163,'2013-08-01',4112
164,'2013-09-01',4167
165,'2013-10-01',4295
166,'2013-11-01',4400
167,'2013-12-01',4548
168,'2014-01-01',4589
169,'2014-02-01',4639
170,'2014-03-01',4757
171,'2014-04-01',4848
172,'2014-05-01',4944
173,'2014-06-01',4988
174,'2014-07-01',5033
175,'2014-08-01',5058
176,'2014-09-01',5085
177,'2014-10-01',5169
178,'2014-11-01',5261
179,'2014-12-01',5345
180,'2015-01-01',5419
181,'2015-02-01',5522
182,'2015-03-01',5618
183,'2015-04-01',5738
184,'2015-05-01',5834
185,'2015-06-01',5862
186,'2015-07-01',5897
187,'2015-08-01',5953
188,'2015-09-01',6041
189,'2015-10-01',6105
190,'2015-11-01',6198
191,'2015-12-01',6309
192,'2016-01-01',6361
193,'2016-02-01',6434
194,'2016-03-01',6520
195,'2016-04-01',6592
196,'2016-05-01',6718
197,'2016-06-01',6780
198,'2016-07-01',6867
199,'2016-08-01',6913
200,'2016-09-01',7014
201,'2016-10-01',7129
202,'2016-11-01',7246
203,'2016-12-01',7348
204,'2017-01-01',7422
205,'2017-02-01',7521
206,'2017-03-01',7615
207,'2017-04-01',7758
208,'2017-05-01',7858
209,'2017-06-01',7928
210,'2017-07-01',7999
211,'2017-08-01',8069
212,'2017-09-01',8167
213,'2017-10-01',8318
214,'2017-11-01',8442
215,'2017-12-01',8575
