,track
0,0
1,0
2,6
3,7
4,10
5,11
6,13
7,13
8,15
9,17
10,17
11,17
12,18
13,22
14,21
15,22
16,19
17,18
18,16
19,15
20,14
21,15
22,15
23,15
24,15
25,15
26,14
27,14
28,13
29,17
30,17
31,18
32,19
33,19
34,22
35,21
36,20
37,21
38,26
39,27
40,30
41,28
42,28
43,26
44,27
45,27
46,28
47,28
48,28
49,28
50,31
51,31
52,30
53,30
54,31
55,31
56,36
57,39
58,43
59,42
60,46
61,57
62,62
63,65
64,65
65,66
66,70
67,72
68,84
69,92
70,102
71,114
72,123
73,134
74,146
75,154
76,168
77,184
78,195
79,205
80,236
81,256
82,283
83,312
84,329
85,374
86,399
87,432
88,447
89,466
90,489
91,502
92,513
93,538
94,571
95,599
96,621
97,1123
98,1509
99,1631
100,1875
101,1961
102,1998
103,2105
104,2147
105,2306
106,2655
107,2812
108,2920
109,3293
110,3026
111,3125
112,2973
113,2883
114,2885
115,2864
116,3028
117,3411
118,3633
119,3548
120,3595
121,4134
122,4456
123,4319
124,4182
125,4323
126,4386
127,4395
128,4459
129,4824
130,5123
131,4981
132,4772
133,4860
134,5419
135,5180
136,5181
137,5055
138,5101
139,5077
140,5243
141,5497
142,5865
143,5745
144,5488
145,6182
146,6463
147,6363
148,6127
149,6020
150,6002
151,6105
152,6217
153,6691
154,6587
155,6412
156,6160
157,6337
158,6562
159,6542
160,6262
161,6105
162,6103
163,6026
164,6241
165,6892
166,6934
167,6957
